,Structure File,Kd(nM),Receptor,Ligand ID,rec_ligscaff,Reference
15,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12015.mol2,3.0,1G4O,12015,1G4O_BSB,0
16,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12016.mol2,2.0,1G4O,12016,1G4O_BSB,0
17,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12017.mol2,3.0,1G4O,12017,1G4O_BSB,0
18,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12018.mol2,2.0,1G4O,12018,1G4O_BSB,0
19,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12019.mol2,4.0,1G4O,12019,1G4O_BSB,0
20,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12020.mol2,4.0,1G4O,12020,1G4O_BSB,0
21,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12021.mol2,4.0,1G4O,12021,1G4O_BSB,0
22,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12022.mol2,4.0,1G4O,12022,1G4O_BSB,0
23,http://www.bindingdb.org/data/surflex/1G4O_BSB/1G4O-results_12023.mol2,2.0,1G4O,12023,1G4O_BSB,0
26,http://www.bindingdb.org/data/surflex/1LIN_TFP/1LIN-results_50001886.mol2,1000.0,1LIN,50001886,1LIN_TFP,1
27,http://www.bindingdb.org/data/surflex/1LIN_TFP/1LIN-results_50001888.mol2,1240.0,1LIN,50001888,1LIN_TFP,0
29,http://www.bindingdb.org/data/surflex/1BNM_AL8/1BNM-results_11932.mol2,0.2,1BNM,11932,1BNM_AL8,0
30,http://www.bindingdb.org/data/surflex/1BNM_AL8/1BNM-results_11933.mol2,0.16,1BNM,11933,1BNM_AL8,0
31,http://www.bindingdb.org/data/surflex/1BNM_AL8/1BNM-results_11934.mol2,0.32,1BNM,11934,1BNM_AL8,0
32,http://www.bindingdb.org/data/surflex/1BNM_AL8/1BNM-results_11935.mol2,0.1,1BNM,11935,1BNM_AL8,1
33,http://www.bindingdb.org/data/surflex/1BNM_AL8/1BNM-results_11936.mol2,0.1,1BNM,11936,1BNM_AL8,0
34,http://www.bindingdb.org/data/surflex/1BNM_AL8/1BNM-results_11937.mol2,2.0,1BNM,11937,1BNM_AL8,0
35,http://www.bindingdb.org/data/surflex/3G3E_G3E/3G3E-results_31148.mol2,13.0,3G3E,31148,3G3E_G3E,1
36,http://www.bindingdb.org/data/surflex/3G3E_G3E/3G3E-results_31150.mol2,38.0,3G3E,31150,3G3E_G3E,0
37,http://www.bindingdb.org/data/surflex/3G3E_G3E/3G3E-results_31151.mol2,17.0,3G3E,31151,3G3E_G3E,0
38,http://www.bindingdb.org/data/surflex/1G48_F6B/1G48-results_12013.mol2,6.0,1G48,12013,1G48_F6B,0
39,http://www.bindingdb.org/data/surflex/1G48_F6B/1G48-results_12015.mol2,3.0,1G48,12015,1G48_F6B,0
40,http://www.bindingdb.org/data/surflex/1G48_F6B/1G48-results_12019.mol2,4.0,1G48,12019,1G48_F6B,0
41,http://www.bindingdb.org/data/surflex/1G48_F6B/1G48-results_12020.mol2,4.0,1G48,12020,1G48_F6B,0
42,http://www.bindingdb.org/data/surflex/1G48_F6B/1G48-results_12021.mol2,4.0,1G48,12021,1G48_F6B,1
43,http://www.bindingdb.org/data/surflex/1G48_F6B/1G48-results_12022.mol2,4.0,1G48,12022,1G48_F6B,0
44,http://www.bindingdb.org/data/surflex/1G48_F6B/1G48-results_12023.mol2,2.0,1G48,12023,1G48_F6B,0
46,http://www.bindingdb.org/data/surflex/1XWS_BI1/1XWS-results_2683.mol2,10.0,1XWS,2683,1XWS_BI1,1
47,http://www.bindingdb.org/data/surflex/1XWS_BI1/1XWS-results_3175.mol2,8.0,1XWS,3175,1XWS_BI1,0
48,http://www.bindingdb.org/data/surflex/1XWS_BI1/1XWS-results_50128285.mol2,200.0,1XWS,50128285,1XWS_BI1,0
49,http://www.bindingdb.org/data/surflex/1XBB_STI/1XBB-results_13530.mol2,10000.0,1XBB,13530,1XBB_STI,1
50,http://www.bindingdb.org/data/surflex/1XBB_STI/1XBB-results_50237710.mol2,10000.0,1XBB,50237710,1XBB_STI,0
51,http://www.bindingdb.org/data/surflex/1XBB_STI/1XBB-results_50355495.mol2,10000.0,1XBB,50355495,1XBB_STI,0
53,http://www.bindingdb.org/data/surflex/1NO6_794/1NO6-results_13951.mol2,100000.0,1NO6,13951,1NO6_794,1
54,http://www.bindingdb.org/data/surflex/1NO6_794/1NO6-results_13952.mol2,26000.0,1NO6,13952,1NO6_794,0
56,http://www.bindingdb.org/data/surflex/2G19_4HG/2G19-results_50193145.mol2,80.0,2G19,50193145,2G19_4HG,1
57,http://www.bindingdb.org/data/surflex/2G19_4HG/2G19-results_50303764.mol2,35000.0,2G19,50303764,2G19_4HG,0
58,http://www.bindingdb.org/data/surflex/3ERN_CAR/3ERN-results_31909.mol2,20500000.0,3ERN,31909,3ERN_CAR,0
59,http://www.bindingdb.org/data/surflex/3ERN_CAR/3ERN-results_31910.mol2,900000.0,3ERN,31910,3ERN_CAR,0
60,http://www.bindingdb.org/data/surflex/3ERN_CAR/3ERN-results_31913.mol2,18910000.0,3ERN,31913,3ERN_CAR,0
61,http://www.bindingdb.org/data/surflex/3ERN_CAR/3ERN-results_31914.mol2,2020000.0,3ERN,31914,3ERN_CAR,1
62,http://www.bindingdb.org/data/surflex/2AAY_SKM/2AAY-results_50281988.mol2,7000.0,2AAY,50281988,2AAY_SKM,1
63,http://www.bindingdb.org/data/surflex/1PXP_CK8/1PXP-results_8043.mol2,151.0,1PXP,8043,1PXP_CK8,1
64,http://www.bindingdb.org/data/surflex/1PXP_CK8/1PXP-results_8046.mol2,121.0,1PXP,8046,1PXP_CK8,0
65,http://www.bindingdb.org/data/surflex/1PXP_CK8/1PXP-results_8068.mol2,45.0,1PXP,8068,1PXP_CK8,0
66,http://www.bindingdb.org/data/surflex/1PXM_CK5/1PXM-results_8043.mol2,151.0,1PXM,8043,1PXM_CK5,0
67,http://www.bindingdb.org/data/surflex/1PXM_CK5/1PXM-results_8046.mol2,121.0,1PXM,8046,1PXM_CK5,1
68,http://www.bindingdb.org/data/surflex/3M67_E36/3M67-results_50329833.mol2,100.0,3M67,50329833,3M67_E36,1
69,http://www.bindingdb.org/data/surflex/3M67_E36/3M67-results_50329835.mol2,60.0,3M67,50329835,3M67_E36,0
70,http://www.bindingdb.org/data/surflex/3M67_E36/3M67-results_50329836.mol2,30.0,3M67,50329836,3M67_E36,0
72,http://www.bindingdb.org/data/surflex/1BNW_TPD/1BNW-results_11929.mol2,0.46,1BNW,11929,1BNW_TPD,0
73,http://www.bindingdb.org/data/surflex/1BNW_TPD/1BNW-results_11930.mol2,0.49,1BNW,11930,1BNW_TPD,0
74,http://www.bindingdb.org/data/surflex/1BNW_TPD/1BNW-results_11931.mol2,0.83,1BNW,11931,1BNW_TPD,1
75,http://www.bindingdb.org/data/surflex/1BNW_TPD/1BNW-results_11932.mol2,0.2,1BNW,11932,1BNW_TPD,0
76,http://www.bindingdb.org/data/surflex/3M40_J45/3M40-results_50329766.mol2,170.0,3M40,50329766,3M40_J45,0
77,http://www.bindingdb.org/data/surflex/1KE5_LS1/1KE5-results_7765.mol2,210.0,1KE5,7765,1KE5_LS1,1
78,http://www.bindingdb.org/data/surflex/1KE5_LS1/1KE5-results_91781.mol2,840.0,1KE5,91781,1KE5_LS1,0
83,http://www.bindingdb.org/data/surflex/1X8R_SC1/1X8R-results_50280240.mol2,15.0,1X8R,50280240,1X8R_SC1,1
84,http://www.bindingdb.org/data/surflex/1X8R_SC1/1X8R-results_50281341.mol2,1000.0,1X8R,50281341,1X8R_SC1,0
85,http://www.bindingdb.org/data/surflex/1X8R_SC1/1X8R-results_50281988.mol2,7000.0,1X8R,50281988,1X8R_SC1,0
86,http://www.bindingdb.org/data/surflex/1X8R_SC1/1X8R-results_50281990.mol2,1000.0,1X8R,50281990,1X8R_SC1,0
87,http://www.bindingdb.org/data/surflex/3M98_E02/3M98-results_50329828.mol2,4200.0,3M98,50329828,3M98_E02,0
88,http://www.bindingdb.org/data/surflex/3M98_E02/3M98-results_50329829.mol2,1000.0,3M98,50329829,3M98_E02,1
89,http://www.bindingdb.org/data/surflex/3M98_E02/3M98-results_50329833.mol2,100.0,3M98,50329833,3M98_E02,0
90,http://www.bindingdb.org/data/surflex/3M98_E02/3M98-results_50329835.mol2,60.0,3M98,50329835,3M98_E02,0
93,http://www.bindingdb.org/data/surflex/1Y6Q_TDI/1Y6Q-results_36494.mol2,0.03,1Y6Q,36494,1Y6Q_TDI,1
94,http://www.bindingdb.org/data/surflex/1Y6Q_TDI/1Y6Q-results_36495.mol2,0.01,1Y6Q,36495,1Y6Q_TDI,0
98,http://www.bindingdb.org/data/surflex/1Y6Q_TDI/1Y6Q-results_50170093.mol2,0.08,1Y6Q,50170093,1Y6Q_TDI,0
99,http://www.bindingdb.org/data/surflex/1A29_TFP/1A29-results_50001886.mol2,1000.0,1A29,50001886,1A29_TFP,1
100,http://www.bindingdb.org/data/surflex/1A29_TFP/1A29-results_50001888.mol2,1240.0,1A29,50001888,1A29_TFP,0
103,http://www.bindingdb.org/data/surflex/1CNW_EG1/1CNW-results_12013.mol2,1.0,1CNW,12013,1CNW_EG1,1
104,http://www.bindingdb.org/data/surflex/1CNW_EG1/1CNW-results_12417.mol2,27.0,1CNW,12417,1CNW_EG1,0
105,http://www.bindingdb.org/data/surflex/1CNW_EG1/1CNW-results_50031452.mol2,41.0,1CNW,50031452,1CNW_EG1,0
106,http://www.bindingdb.org/data/surflex/1CNW_EG1/1CNW-results_50031453.mol2,19.0,1CNW,50031453,1CNW_EG1,0
107,http://www.bindingdb.org/data/surflex/1CNW_EG1/1CNW-results_50031454.mol2,43.0,1CNW,50031454,1CNW_EG1,0
108,http://www.bindingdb.org/data/surflex/1CNW_EG1/1CNW-results_50031455.mol2,50.0,1CNW,50031455,1CNW_EG1,0
109,http://www.bindingdb.org/data/surflex/1CNW_EG1/1CNW-results_50031456.mol2,16.0,1CNW,50031456,1CNW_EG1,0
111,http://www.bindingdb.org/data/surflex/3HQU_UN9/3HQU-results_50193145.mol2,80.0,3HQU,50193145,3HQU_UN9,0
112,http://www.bindingdb.org/data/surflex/3HQU_UN9/3HQU-results_50303764.mol2,35000.0,3HQU,50303764,3HQU_UN9,1
115,http://www.bindingdb.org/data/surflex/1NVS_UCM/1NVS-results_2579.mol2,3.0,1NVS,2579,1NVS_UCM,0
116,http://www.bindingdb.org/data/surflex/1NVS_UCM/1NVS-results_31094.mol2,1300.0,1NVS,31094,1NVS_UCM,1
117,http://www.bindingdb.org/data/surflex/1NVS_UCM/1NVS-results_31096.mol2,3.0,1NVS,31096,1NVS_UCM,0
121,http://www.bindingdb.org/data/surflex/2OSC_MUH/2OSC-results_13530.mol2,10000.0,2OSC,13530,2OSC_MUH,0
122,http://www.bindingdb.org/data/surflex/2OSC_MUH/2OSC-results_50237710.mol2,1000.0,2OSC,50237710,2OSC_MUH,1
124,http://www.bindingdb.org/data/surflex/2Y34_UN9/2Y34-results_50193145.mol2,80.0,2Y34,50193145,2Y34_UN9,0
125,http://www.bindingdb.org/data/surflex/2Y34_UN9/2Y34-results_50303764.mol2,35000.0,2Y34,50303764,2Y34_UN9,1
126,http://www.bindingdb.org/data/surflex/3MYQ_E27/3MYQ-results_50329833.mol2,100.0,3MYQ,50329833,3MYQ_E27,0
127,http://www.bindingdb.org/data/surflex/3MYQ_E27/3MYQ-results_50329835.mol2,60.0,3MYQ,50329835,3MYQ_E27,0
128,http://www.bindingdb.org/data/surflex/3MYQ_E27/3MYQ-results_50329836.mol2,30.0,3MYQ,50329836,3MYQ_E27,1
129,http://www.bindingdb.org/data/surflex/3M96_E38/3M96-results_50329833.mol2,100.0,3M96,50329833,3M96_E38,0
130,http://www.bindingdb.org/data/surflex/3M96_E38/3M96-results_50329835.mol2,60.0,3M96,50329835,3M96_E38,1
131,http://www.bindingdb.org/data/surflex/3M96_E38/3M96-results_50329836.mol2,30.0,3M96,50329836,3M96_E38,0
134,http://www.bindingdb.org/data/surflex/1BNT_AL2/1BNT-results_11932.mol2,0.2,1BNT,11932,1BNT_AL2,0
135,http://www.bindingdb.org/data/surflex/1BNT_AL2/1BNT-results_11933.mol2,0.16,1BNT,11933,1BNT_AL2,1
136,http://www.bindingdb.org/data/surflex/1BNT_AL2/1BNT-results_11935.mol2,0.1,1BNT,11935,1BNT_AL2,0
137,http://www.bindingdb.org/data/surflex/1BNT_AL2/1BNT-results_11936.mol2,0.1,1BNT,11936,1BNT_AL2,0
138,http://www.bindingdb.org/data/surflex/1BNT_AL2/1BNT-results_11937.mol2,2.0,1BNT,11937,1BNT_AL2,0
139,http://www.bindingdb.org/data/surflex/1BNT_AL2/1BNT-results_11938.mol2,0.13,1BNT,11938,1BNT_AL2,0
140,http://www.bindingdb.org/data/surflex/4ABU_FT1/4ABU-results_8726.mol2,144000.0,4ABU,8726,4ABU_FT1,1
141,http://www.bindingdb.org/data/surflex/4ABU_FT1/4ABU-results_25406.mol2,27.0,4ABU,25406,4ABU_FT1,0
142,http://www.bindingdb.org/data/surflex/4ABU_FT1/4ABU-results_50225216.mol2,0.3,4ABU,50225216,4ABU_FT1,0
143,http://www.bindingdb.org/data/surflex/4ABU_FT1/4ABU-results_50225217.mol2,6.0,4ABU,50225217,4ABU_FT1,0
144,http://www.bindingdb.org/data/surflex/4ABU_FT1/4ABU-results_50225219.mol2,88.0,4ABU,50225219,4ABU_FT1,0
145,http://www.bindingdb.org/data/surflex/4ABU_FT1/4ABU-results_50225224.mol2,14.0,4ABU,50225224,4ABU_FT1,0
146,http://www.bindingdb.org/data/surflex/4ABU_FT1/4ABU-results_50225226.mol2,0.2,4ABU,50225226,4ABU_FT1,0
147,http://www.bindingdb.org/data/surflex/4ABU_FT1/4ABU-results_50225228.mol2,27.0,4ABU,50225228,4ABU_FT1,0
149,http://www.bindingdb.org/data/surflex/3SAX_E50/3SAX-results_50329833.mol2,100.0,3SAX,50329833,3SAX_E50,0
150,http://www.bindingdb.org/data/surflex/3SAX_E50/3SAX-results_50329835.mol2,60.0,3SAX,50329835,3SAX_E50,0
151,http://www.bindingdb.org/data/surflex/3SAX_E50/3SAX-results_50329836.mol2,30.0,3SAX,50329836,3SAX_E50,0
154,http://www.bindingdb.org/data/surflex/2Y33_UN9/2Y33-results_50193145.mol2,80.0,2Y33,50193145,2Y33_UN9,0
155,http://www.bindingdb.org/data/surflex/2Y33_UN9/2Y33-results_50303764.mol2,35000.0,2Y33,50303764,2Y33_UN9,1
156,http://www.bindingdb.org/data/surflex/1KE8_LS4/1KE8-results_7765.mol2,210.0,1KE8,7765,1KE8_LS4,1
157,http://www.bindingdb.org/data/surflex/1KE8_LS4/1KE8-results_91781.mol2,840.0,1KE8,91781,1KE8_LS4,0
158,http://www.bindingdb.org/data/surflex/3MHI_J90/3MHI-results_50329766.mol2,170.0,3MHI,50329766,3MHI_J90,0
159,http://www.bindingdb.org/data/surflex/3MHI_J90/3MHI-results_50329767.mol2,100.0,3MHI,50329767,3MHI_J90,0
160,http://www.bindingdb.org/data/surflex/3MHI_J90/3MHI-results_50329768.mol2,16.0,3MHI,50329768,3MHI_J90,0
161,http://www.bindingdb.org/data/surflex/3MHI_J90/3MHI-results_50329772.mol2,200.0,3MHI,50329772,3MHI_J90,1
162,http://www.bindingdb.org/data/surflex/1G6S_S3P/1G6S-results_50280239.mol2,8000.0,1G6S,50280239,1G6S_S3P,0
163,http://www.bindingdb.org/data/surflex/1G6S_S3P/1G6S-results_50280240.mol2,15.0,1G6S,50280240,1G6S_S3P,0
164,http://www.bindingdb.org/data/surflex/1G6S_S3P/1G6S-results_50281341.mol2,1000.0,1G6S,50281341,1G6S_S3P,0
165,http://www.bindingdb.org/data/surflex/1G6S_S3P/1G6S-results_50281988.mol2,7000.0,1G6S,50281988,1G6S_S3P,1
166,http://www.bindingdb.org/data/surflex/1G6S_S3P/1G6S-results_50281990.mol2,1000.0,1G6S,50281990,1G6S_S3P,0
167,http://www.bindingdb.org/data/surflex/2C5O_CK2/2C5O-results_8037.mol2,30300.0,2C5O,8037,2C5O_CK2,1
168,http://www.bindingdb.org/data/surflex/2C5O_CK2/2C5O-results_8043.mol2,151.0,2C5O,8043,2C5O_CK2,0
169,http://www.bindingdb.org/data/surflex/2C5O_CK2/2C5O-results_8046.mol2,121.0,2C5O,8046,2C5O_CK2,0
171,http://www.bindingdb.org/data/surflex/2HBU_UN9/2HBU-results_50193145.mol2,80.0,2HBU,50193145,2HBU_UN9,0
172,http://www.bindingdb.org/data/surflex/2HBU_UN9/2HBU-results_50303764.mol2,35000.0,2HBU,50303764,2HBU_UN9,1
174,http://www.bindingdb.org/data/surflex/1N5R_PRM/1N5R-results_31904.mol2,1100.0,1N5R,31904,1N5R_PRM,0
175,http://www.bindingdb.org/data/surflex/1YHS_STU/1YHS-results_2579.mol2,1.0,1YHS,2579,1YHS_STU,1
182,http://www.bindingdb.org/data/surflex/1KE9_LS5/1KE9-results_7765.mol2,210.0,1KE9,7765,1KE9_LS5,1
183,http://www.bindingdb.org/data/surflex/1KE9_LS5/1KE9-results_91781.mol2,840.0,1KE9,91781,1KE9_LS5,0
185,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12013.mol2,6.0,1I9L,12013,1I9L_INV,0
186,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12014.mol2,2.0,1I9L,12014,1I9L_INV,0
187,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12015.mol2,3.0,1I9L,12015,1I9L_INV,1
188,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12016.mol2,2.0,1I9L,12016,1I9L_INV,0
189,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12017.mol2,3.0,1I9L,12017,1I9L_INV,0
190,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12018.mol2,2.0,1I9L,12018,1I9L_INV,0
191,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12019.mol2,4.0,1I9L,12019,1I9L_INV,0
192,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12020.mol2,4.0,1I9L,12020,1I9L_INV,0
193,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12021.mol2,4.0,1I9L,12021,1I9L_INV,0
194,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12022.mol2,4.0,1I9L,12022,1I9L_INV,0
195,http://www.bindingdb.org/data/surflex/1I9L_INV/1I9L-results_12023.mol2,2.0,1I9L,12023,1I9L_INV,0
198,http://www.bindingdb.org/data/surflex/2I4J_DRJ/2I4J-results_28762.mol2,685.0,2I4J,28762,2I4J_DRJ,1
199,http://www.bindingdb.org/data/surflex/2I4J_DRJ/2I4J-results_28763.mol2,1978.0,2I4J,28763,2I4J_DRJ,0
200,http://www.bindingdb.org/data/surflex/2I4Z_DRH/2I4Z-results_28762.mol2,685.0,2I4Z,28762,2I4Z_DRH,1
201,http://www.bindingdb.org/data/surflex/2I4Z_DRH/2I4Z-results_28763.mol2,1978.0,2I4Z,28763,2I4Z_DRH,0
202,http://www.bindingdb.org/data/surflex/1TFQ_998/1TFQ-results_13166.mol2,12.0,1TFQ,13166,1TFQ_998,0
203,http://www.bindingdb.org/data/surflex/1TFQ_998/1TFQ-results_13167.mol2,706.0,1TFQ,13167,1TFQ_998,0
204,http://www.bindingdb.org/data/surflex/1TFQ_998/1TFQ-results_13175.mol2,16.0,1TFQ,13175,1TFQ_998,0
205,http://www.bindingdb.org/data/surflex/1TFQ_998/1TFQ-results_13177.mol2,1000.0,1TFQ,13177,1TFQ_998,1
206,http://www.bindingdb.org/data/surflex/1TFQ_998/1TFQ-results_13179.mol2,1000.0,1TFQ,13179,1TFQ_998,0
207,http://www.bindingdb.org/data/surflex/1TFQ_998/1TFQ-results_13180.mol2,1000.0,1TFQ,13180,1TFQ_998,0
208,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12013.mol2,6.0,1I9Q,12013,1I9Q_IOF,0
209,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12014.mol2,2.0,1I9Q,12014,1I9Q_IOF,0
210,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12015.mol2,3.0,1I9Q,12015,1I9Q_IOF,0
211,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12016.mol2,2.0,1I9Q,12016,1I9Q_IOF,0
212,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12017.mol2,3.0,1I9Q,12017,1I9Q_IOF,0
213,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12018.mol2,2.0,1I9Q,12018,1I9Q_IOF,0
214,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12019.mol2,4.0,1I9Q,12019,1I9Q_IOF,0
215,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12020.mol2,4.0,1I9Q,12020,1I9Q_IOF,0
216,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12021.mol2,4.0,1I9Q,12021,1I9Q_IOF,0
217,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12022.mol2,4.0,1I9Q,12022,1I9Q_IOF,1
218,http://www.bindingdb.org/data/surflex/1I9Q_IOF/1I9Q-results_12023.mol2,2.0,1I9Q,12023,1I9Q_IOF,0
219,http://www.bindingdb.org/data/surflex/1BN1_AL5/1BN1-results_11929.mol2,0.46,1BN1,11929,1BN1_AL5,1
220,http://www.bindingdb.org/data/surflex/1BN1_AL5/1BN1-results_11930.mol2,0.49,1BN1,11930,1BN1_AL5,0
221,http://www.bindingdb.org/data/surflex/1BN1_AL5/1BN1-results_11931.mol2,0.83,1BN1,11931,1BN1_AL5,0
222,http://www.bindingdb.org/data/surflex/1I9O_IOC/1I9O-results_12013.mol2,6.0,1I9O,12013,1I9O_IOC,0
223,http://www.bindingdb.org/data/surflex/1I9O_IOC/1I9O-results_12015.mol2,3.0,1I9O,12015,1I9O_IOC,0
224,http://www.bindingdb.org/data/surflex/1I9O_IOC/1I9O-results_12018.mol2,2.0,1I9O,12018,1I9O_IOC,0
225,http://www.bindingdb.org/data/surflex/1I9O_IOC/1I9O-results_12019.mol2,4.0,1I9O,12019,1I9O_IOC,0
226,http://www.bindingdb.org/data/surflex/1I9O_IOC/1I9O-results_12020.mol2,4.0,1I9O,12020,1I9O_IOC,1
227,http://www.bindingdb.org/data/surflex/1I9O_IOC/1I9O-results_12021.mol2,4.0,1I9O,12021,1I9O_IOC,0
228,http://www.bindingdb.org/data/surflex/1I9O_IOC/1I9O-results_12022.mol2,4.0,1I9O,12022,1I9O_IOC,0
229,http://www.bindingdb.org/data/surflex/1I9O_IOC/1I9O-results_12023.mol2,2.0,1I9O,12023,1I9O_IOC,0
231,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12013.mol2,6.0,1G46,12013,1G46_F2B,0
232,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12014.mol2,2.0,1G46,12014,1G46_F2B,0
233,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12015.mol2,3.0,1G46,12015,1G46_F2B,0
234,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12016.mol2,2.0,1G46,12016,1G46_F2B,0
235,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12017.mol2,3.0,1G46,12017,1G46_F2B,0
236,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12018.mol2,2.0,1G46,12018,1G46_F2B,0
237,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12019.mol2,4.0,1G46,12019,1G46_F2B,0
238,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12020.mol2,4.0,1G46,12020,1G46_F2B,0
239,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12021.mol2,4.0,1G46,12021,1G46_F2B,0
240,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12022.mol2,4.0,1G46,12022,1G46_F2B,0
241,http://www.bindingdb.org/data/surflex/1G46_F2B/1G46-results_12023.mol2,2.0,1G46,12023,1G46_F2B,1
246,http://www.bindingdb.org/data/surflex/2AA9_SKM/2AA9-results_50281988.mol2,7000.0,2AA9,50281988,2AA9_SKM,1
247,http://www.bindingdb.org/data/surflex/3M3X_JS7/3M3X-results_50329762.mol2,420.0,3M3X,50329762,3M3X_JS7,0
248,http://www.bindingdb.org/data/surflex/3M3X_JS7/3M3X-results_50329766.mol2,170.0,3M3X,50329766,3M3X_JS7,0
249,http://www.bindingdb.org/data/surflex/3M3X_JS7/3M3X-results_50329767.mol2,100.0,3M3X,50329767,3M3X_JS7,0
250,http://www.bindingdb.org/data/surflex/3M3X_JS7/3M3X-results_50329768.mol2,16.0,3M3X,50329768,3M3X_JS7,0
251,http://www.bindingdb.org/data/surflex/3M3X_JS7/3M3X-results_50329772.mol2,200.0,3M3X,50329772,3M3X_JS7,0
254,http://www.bindingdb.org/data/surflex/2HNX_PLM/2HNX-results_50152850.mol2,83000.0,2HNX,50152850,2HNX_PLM,1
255,http://www.bindingdb.org/data/surflex/2HNX_PLM/2HNX-results_50240485.mol2,80000.0,2HNX,50240485,2HNX_PLM,0
256,http://www.bindingdb.org/data/surflex/4AC4_HKA/4AC4-results_50225216.mol2,0.3,4AC4,50225216,4AC4_HKA,0
257,http://www.bindingdb.org/data/surflex/4AC4_HKA/4AC4-results_50225219.mol2,88.0,4AC4,50225219,4AC4_HKA,0
