PDB ID	Ligand Monomer ID	Ligand Name	Receptor Ki (binding affinity)
1CIN	50041037	CHEMBL415964	0.17
1CIN	50041041	CHEMBL273822	2
1CIN	50041042	CHEMBL276679	15
1CIN	50041045	CHEMBL273599	0.14
1CIN	50041048	CHEMBL9660	1
1CIN	50094370	Sulfonamide, 5	9
1CIN	50160672	Sulfonamide, 6	3
1CKP	7478	Purvalanol B	9
1CKP	7533	(R)-Roscovitine	400
1CKP	10633	purine deriv. 1	800
1CKP	10634	purine deriv. 2	200
1CKP	10635	purine deriv. 3	30
1CKP	10636	purine deriv. 4	8000
1CKP	10638	purine deriv. 6	900
1CKP	10639	purine deriv. 7	2400
1CKP	10640	purine deriv. 8	100000
1CKP	10909	N6-methyl-(R)-roscovitine	250000
1CKP	11460	H717	48
1CKP	27216	Purvalanol A	70
1CNW	12013	SBB	1
1CNW	12417	BR17	27
1CNW	12916	N-propynyl amide derivative 2	47
1CNW	50031452	CHEBI:217880	41
1CNW	50031453	CHEBI:217882	19
1CNW	50031454	CHEBI:217926	43
1CNW	50031455	CHEBI:218397	50
1CNW	50031456	CHEBI:217969	16
1CNW	50101335	CHEMBL51506	7
1CNW	50101343	CHEMBL51385	330
1CNW	50101349	CHEMBL53135	240
1CNW	50101353	CHEMBL50446	120
1CNW	50101383	CHEMBL431742	290
1CNW	50288925	CHEMBL153432	230
1D3G	15339	Brequinar	7
1D3G	50069959	CHEMBL300058	12
1D3G	50070839	CHEMBL48928	26
1D3G	50201925	CHEMBL220467	7
1D3G	50284819	CHEMBL39188	210
1D3G	50284820	CHEMBL38978	50
1D3G	50284823	CHEMBL38440	400
1D3G	50284824	CHEMBL38476	230
1D3G	50284825	CHEMBL289555	300
1D3G	50284826	CHEMBL288708	8
1D3G	50284828	CHEMBL39151	200
1D3G	50284830	CHEMBL38421	24
1D3G	50284837	CHEMBL416057	40
1D3G	50284842	CHEMBL36047	30
1D3G	50284855	CHEMBL38242	38
1D3G	50284863	CHEMBL43521	500
1D3G	50284869	CHEMBL38639	140
1DDU	18050	Methotrexate	90000
1DDU	20676	Pyrrolo[3,2-d]pyrimidine analogue, 4	69
1DDU	50012244	CHEMBL25889	5
1DDU	50028408	CHEMBL265510	90
1DDU	50158424	CB3717	60
1DDU	50158426	CHEMBL225071	57000
1DDU	50158535	CHEMBL374172	180000
1DDU	50171511	CHEMBL365307	170000
1E1V	5462	O6-Substituted Guanine Deriv. 4	48000
1E1V	5463	O6-Substituted Guanine Deriv. 5	49000
1E1V	5464	O6-Substituted Guanine Deriv. 6	100000
1E1V	5467	O6-Substituted Guanine Deriv. 9	42000
1E1V	5468	O6-Substituted Guanine Deriv. 10	15000
1E1V	5469	O6-Substituted Guanine Deriv. 11	26000
1E1V	5473	O6-Substituted Guanine Deriv. 13	47000
1E1V	5483	O6-Substituted Guanine Deriv. 23	21000
1E1V	5485	NU2058	17000
1E1V	5490	O6-Substituted Guanine Deriv. 30	44000
1E1V	5522	O6-Cyclohexylmethylguanine deriv. 7	5000
1EK2	50124654	CHEMBL11293	223900
1EK2	50124656	CHEMBL11552	100
1EK2	50124658	CHEMBL11524	71
1EK2	50143908	CHEMBL304297	122000
1EK2	50143911	CHEMBL70175	500000
1EK2	50143914	CHEMBL66380	500000
1EK2	50143925	CHEMBL67158	50
1EK2	50192936	CHEMBL219695	1900
1EK2	50192966	CHEMBL434374	24000
1EK2	50196665	CHEMBL224580	50
1EK2	50196667	CHEMBL224395	50
1EK2	50327823	CHEMBL1256164	4
1ERR	19441	Raloxifene	170
1ERR	50005411	CHEMBL10030	120
1ERR	50055535	CHEMBL297549	7
1ERR	50055560	CHEMBL416268	200
1ERR	50055561	CHEMBL43779	0.80
1ERR	50055571	CHEMBL295540	325
1ERR	50055580	CHEMBL297996	50
1ERR	50055584	CHEMBL416088	32
1ERR	50291439	CHEMBL170001	8
1ETS	50037996	CHEMBL51173	6
1ETS	50072840	CHEMBL346607	6
1ETS	50098230	CHEMBL9491	7
1ETS	50098234	CHEMBL268683	5370
1ETS	50098246	CHEMBL9111	4320
1ETS	50291358	CHEMBL349986	52
1ETS	50291360	CHEMBL165413	5370
1ETS	50291361	CHEMBL165909	46
1ETS	50291362	CHEMBL349483	2700
1ETS	50291363	CHEMBL354307	20
1ETS	50291364	CHEMBL424164	4320
1EZQ	12597	RPR128515	 0.9
	50085393	CHEBI:167942	 0.5
	50062714	CHEBI:167448	 21
	50114527	CHEBI:167015	 11
	50114526	CHEBI:167377	 8
	50114529	CHEBI:167268	 9.4
	50114528	CHEBI:167975	 2
	50114530	CHEBI:167269	 4
	50114531	CHEBI:167900	 1
	50114532	CHEBI:167408	 20
	50114533	CHEBI:167332	 69
	50114534	CHEBI:167462	 0.4
	50085406	CHEBI:167359	 5.3
	50114536	CHEBI:167524	 0.7
	50114544	CHEBI:168124	 0.5
	50114545	CHEBI:168098	 8
	50114539	CHEBI:167105	 0.4
	50114537	CHEBI:168129	 0.89
	50114548	CHEBI:168128	 1.2
	50114542	CHEBI:167106	 2.7
	50114543	CHEBI:168134	 0.58
	50114540	CHEBI:168133	 0.8
	50114547	CHEBI:167065	 2
	50114544	CHEBI:168124	 0.5
	50114545	CHEBI:168098	 8
1FJ4	50138281	CHEMBL322740	20000
1FJ4	50180103	CHEMBL200240	1000000
1FJ4	50180104	CHEMBL372341	1000000
1FJ4	50180110	CHEMBL199463	1000000
1FJ4	50180116	CHEMBL200363	1000000
1FJ4	50180118	CHEMBL199428	1000000
1FJ4	50180121	CHEMBL201227	1000000
1FJ4	50180122	CHEMBL199976	1000000
1FJ4	50180123	CHEMBL202928	1000000
1FJ4	50180127	CHEMBL200655	100000
1FJ4	50180129	CHEMBL199516	1000000
1FJ4	50180130	CHEMBL200803	100000
1FJS	17284	ZK-807834	 0.11
	50136945	CHEBI:355980	 810
	17280	Pyridine template, V	 0.11
	50066641	CHEBI:295369	 0.33
	50066635	CHEBI:295492	 0.24
	50066634	CHEBI:295491	 0.31
	50066637	CHEBI:232862	 2.4
	50066639	CHEBI:296464	 0.43
	50066638	CHEBI:232702	 1.2
	50066630	CHEBI:232659	 740
	50066628	CHEBI:295490	 0.71
	50066625	CHEBI:296075	 0.65
	50066623	CHEBI:214282	 0.41
	50066619	CHEBI:296076	 0.26
	50113867	CHEBI:232469	 180
	50113873	CHEBI:233182	 220
	50113865	CHEBI:232438	 23
	50113882	CHEBI:233256	 1400
	50113901	CHEBI:232765	 160
	50113912	CHEBI:232946	 690
	50113924	CHEBI:233215	 820
1FVV	7744	Oxindole-Based Inhibitor 80	3
1FVV	7747	Oxindole-Based Inhibitor 83	6
1FVV	7748	Oxindole-Based Inhibitor 84	5
1FVV	7749	Oxindole-Based Inhibitor 85	5
1FVV	7751	Oxindole-Based Inhibitor 87	0.54
1FVV	7752	Oxindole-Based Inhibitor 88	5
1FVV	7754	Oxindole-Based Inhibitor 90	4
1FVV	7755	Oxindole-Based Inhibitor 91	10
1FVV	7756	Oxindole-Based Inhibitor 92	6
1FVV	7757	Oxindole-Based Inhibitor 93	281
1FVV	7758	Oxindole-Based Inhibitor 94	6
1FVV	7760	Oxindole-Based Inhibitor 96	3
1FVV	7761	Oxindole-Based Inhibitor 97	75
1FVV	7766	Oxindole-Based Inhibitor 102	6
1FVV	91779	CS244	333
1G45	12013	SBB	6
1G45	12015	4-fluoro-SBB	3
1G45	12016	2,3-difluoro-SBB	2
1G45	12019	2,6-difluoro-SBB	4
1G45	12020	2,3,4-trifluoro-SBB	4
1G45	12021	2,4,6-trifluoro-SBB	4
1G45	12022	3,4,5-trifluoro-SBB	4
1G45	12023	2,3,4,5,6-pentafluoro-SBB	2
1G46	12013	SBB	6
1G46	12014	2-fluoro-SBB	2
1G46	12015	4-fluoro-SBB	3
1G46	12016	2,3-difluoro-SBB	2
1G46	12017	2,4-difluoro-SBB	3
1G46	12018	2,5-difluoro-SBB	2
1G46	12019	2,6-difluoro-SBB	4
1G46	12020	2,3,4-trifluoro-SBB	4
1G46	12021	2,4,6-trifluoro-SBB	4
1G46	12022	3,4,5-trifluoro-SBB	4
1G46	12023	2,3,4,5,6-pentafluoro-SBB	2
1G4J	12013	SBB	6
1G4J	12014	2-fluoro-SBB	2
1G4J	12015	4-fluoro-SBB	3
1G4J	12016	2,3-difluoro-SBB	2
1G4J	12018	2,5-difluoro-SBB	2
1G4J	12019	2,6-difluoro-SBB	4
1G4J	12021	2,4,6-trifluoro-SBB	4
1G4J	12022	3,4,5-trifluoro-SBB	4
1G4J	12023	2,3,4,5,6-pentafluoro-SBB	2
1G4O	12013	SBB	6
1G4O	12014	2-fluoro-SBB	2
1G4O	12015	4-fluoro-SBB	3
1G4O	12016	2,3-difluoro-SBB	2
1G4O	12017	2,4-difluoro-SBB	3
1G4O	12018	2,5-difluoro-SBB	2
1G4O	12019	2,6-difluoro-SBB	4
1G4O	12020	2,3,4-trifluoro-SBB	4
1G4O	12021	2,4,6-trifluoro-SBB	4
1G4O	12022	3,4,5-trifluoro-SBB	4
1G4O	12023	2,3,4,5,6-pentafluoro-SBB	2
1G5S	5718	Olomoucine	7000
1G5S	7533	(R)-Roscovitine	400
1G5S	10633	purine deriv. 1	800
1G5S	10634	purine deriv. 2	200
1G5S	10636	purine deriv. 4	8000
1G5S	10638	purine deriv. 6	900
1G5S	10640	purine deriv. 8	100000
1G5S	10909	N6-methyl-(R)-roscovitine	250000
1G5S	11458	H327	50
1G5S	11459	H622	24
1G5S	11460	H717	48
1G5S	11461	H724	720
1G6S	50280239	CHEBI:145988	13000
1G6S	50280240	CHEBI:145958	15
1G6S	50280241	CHEBI:145990	90000
1G6S	50280242	CHEBI:145989	7000
1G6S	50281341	CHEMBL317037	1000
1G6S	50281343	CHEMBL318618	1500
1G6S	50281345	CHEMBL32446	90000000
1G6S	50281988	CHEMBL32352	7000
1G6S	50281990	CHEMBL33426	1000
1G6S	50281993	CHEMBL287334	1500
1G6S	50281995	CHEMBL284334	7500000
1G6S	50281998	CHEMBL290345	90000000
1G6S	50283578	CHEMBL88396	1500
1G6T	50280240	CHEBI:145958	15
1G6T	50280241	CHEBI:145990	90000
1G6T	50280242	CHEBI:145989	7000
1G6T	50281341	CHEMBL317037	1000
1G6T	50281343	CHEMBL318618	1500
1G6T	50281988	CHEMBL32352	7000
1G6T	50281990	CHEMBL33426	1000
1G6T	50281993	CHEMBL287334	1500
1G6T	50281995	CHEMBL284334	7500000
1G6T	50281998	CHEMBL290345	90000000
1G6T	50283578	CHEMBL88396	1500
1GCZ	50095995	CHEBI:352208	 7400
	50096001	CHEBI:352417	 500
	50096004	CHEBI:352280	 280
	50095997	CHEBI:112227	 38
1GCZ	50095996	CHEBI:352288	 5800
	50096005	CHEBI:352289	 3100
	50096002	CHEBI:352414	 1500
1GCZ	50096003	CHEBI:352418	 470
1GCZ	50096008	CHEBI:352209	 4300
	50095993	CHEBI:352239	 550
	50096006	CHEBI:352454	 2100
1GCZ	50096007	CHEBI:352310	 1600
1GCZ	50095994	CHEBI:352271	 2900
1GCZ	50265450	CHEBI:594234	 1600
1GIH	6619	diarylurea deriv. 1	78
1GIH	6620	5-alkylaminomethyl pyrazole-3-yl urea deriv. 9a	14000
1GIH	6621	5-alkylaminomethyl pyrazole-3-yl urea deriv. 9b	12000
1GIH	6622	5-alkylaminomethyl pyrazole-3-yl urea deriv. 9c	17000
1GIH	6623	5-alkylaminomethyl pyrazole-3-yl urea deriv. 9d	9800
1GIH	6624	5-alkylaminomethyl pyrazole-3-yl urea deriv. 9e	9700
1GIH	6625	5-alkylaminomethyl pyrazole-3-yl urea deriv. 9f	20000
1GIH	6628	5-alkylaminomethyl pyrazole-3-yl urea deriv. 9g	7500
1GIH	6629	5-alkylaminomethyl pyrazole-3-yl urea deriv. 9h	12000
1GIH	6630	pyrazole-3-yl urea deriv. 14a	25000
1GIH	6631	pyrazole-3-yl urea deriv. 14b	25000
1GIH	6632	pyrazole-3-yl urea deriv. 15a	180
1GIH	6633	pyrazole-3-yl urea deriv. 15b	440
1GZ8	5461	O6-Substituted Guanine Deriv. 3	67000
1GZ8	5462	O6-Substituted Guanine Deriv. 4	48000
1GZ8	5463	O6-Substituted Guanine Deriv. 5	49000
1GZ8	5464	O6-Substituted Guanine Deriv. 6	100000
1GZ8	5467	O6-Substituted Guanine Deriv. 9	42000
1GZ8	5468	O6-Substituted Guanine Deriv. 10	15000
1GZ8	5469	O6-Substituted Guanine Deriv. 11	26000
1GZ8	5473	O6-Substituted Guanine Deriv. 13	47000
1GZ8	5477	O6-Substituted Guanine Deriv. 17	21000
1GZ8	5478	O6-Substituted Guanine Deriv. 18	16000
1GZ8	5483	O6-Substituted Guanine Deriv. 23	21000
1GZ8	5485	NU2058	17000
1GZ8	5490	O6-Substituted Guanine Deriv. 30	44000
1H00	7588	4,6-bis anilino pyrimidine deriv. 1	93000
1H00	7589	4,6-bis anilino pyrimidine deriv. 2	100000
1H00	7590	4,6-bis anilino pyrimidine deriv. 3	39000
1H00	7592	4,6-bis anilino pyrimidine deriv. 5	100000
1H00	7593	4,6-bis anilino pyrimidine deriv. 6	95000
1H00	7594	4,6-bis anilino pyrimidine deriv. 7	28000
1H00	7595	4,6-bis anilino pyrimidine deriv. 8	85000
1H00	7598	4,6-bis anilino pyrimidine deriv. 11	38000
1H00	7599	4,6-bis anilino pyrimidine deriv. 12	35000
1H00	7606	2,4-bis anilino pyrimidine deriv. 2	7000
1H00	7616	2,4-bis anilino pyrimidine deriv. 12	2000
1H00	7635	4,6 bis anilino pyrimidine deriv. 8	100000
1H00	7636	4,6 bis anilino pyrimidine deriv. 9	100000
1H00	7637	4,6 bis anilino pyrimidine deriv. 10	100000
1H00	7639	4,6 bis anilino pyrimidine deriv. 12	81000
1H01	7605	2,4-bis anilino pyrimidine deriv. 1	34000
1H01	7611	2,4-bis anilino pyrimidine deriv. 7	5000
1H01	7613	2,4-bis anilino pyrimidine deriv. 9	36000
1H01	7614	2,4-bis anilino pyrimidine deriv. 10	26000
1H01	7615	2,4-bis anilino pyrimidine deriv. 11	1000
1H01	7617	2,4-bis anilino pyrimidine deriv. 13	5000
1H01	7619	2,4-bis anilino pyrimidine deriv. 15	700
1H01	7620	2,4-bis anilino pyrimidine deriv. 16	2000
1H01	7621	2,4-bis anilino pyrimidine deriv. 17	3000
1H01	7622	2,4-bis anilino pyrimidine deriv. 18	10000
1H01	7623	2,4-bis anilino pyrimidine deriv. 19	12000
1H01	7626	2,4-bis anilino pyrimidine deriv. 22	500
1H07	7589	4,6-bis anilino pyrimidine deriv. 2	100000
1H07	7590	4,6-bis anilino pyrimidine deriv. 3	39000
1H07	7594	4,6-bis anilino pyrimidine deriv. 7	28000
1H07	7600	4,6-bis anilino pyrimidine deriv. 13	1000
1H07	7601	4,6-bis anilino pyrimidine deriv. 14	5000
1H07	7602	4,6-bis anilino pyrimidine deriv. 15	19000
1H07	7603	4,6-bis anilino pyrimidine deriv. 16	100000
1H07	7604	4,6-bis anilino pyrimidine deriv. 17	3000
1H07	7608	2,4-bis anilino pyrimidine deriv. 4	7000
1H07	7635	4,6 bis anilino pyrimidine deriv. 8	100000
1H07	7636	4,6 bis anilino pyrimidine deriv. 9	100000
1H07	7637	4,6 bis anilino pyrimidine deriv. 10	100000
1H07	7640	4,6 bis anilino pyrimidine deriv. 13	22000
1H07	12082	AZ2	2600
1H08	7605	2,4-bis anilino pyrimidine deriv. 1	34000
1H08	7606	2,4-bis anilino pyrimidine deriv. 2	7000
1H08	7607	2,4-bis anilino pyrimidine deriv. 3	6000
1H08	7608	2,4-bis anilino pyrimidine deriv. 4	7000
1H08	7609	2,4-bis anilino pyrimidine deriv. 5	4000
1H08	7610	2,4-bis anilino pyrimidine deriv. 6	15000
1H08	7611	2,4-bis anilino pyrimidine deriv. 7	5000
1H08	7612	2,4-bis anilino pyrimidine deriv. 8	18000
1H08	7613	2,4-bis anilino pyrimidine deriv. 9	36000
1H08	7614	2,4-bis anilino pyrimidine deriv. 10	26000
1H08	7624	2,4-bis anilino pyrimidine deriv. 20	8000
1H08	7625	2,4-bis anilino pyrimidine deriv. 21	10000
1H08	7626	2,4-bis anilino pyrimidine deriv. 22	500
1H08	7627	2,4-bis anilino pyrimidine deriv. 23	300
1H08	7628	2,4-bis anilino pyrimidine deriv. 24	200
1H0V	5461	O6-Substituted Guanine Deriv. 3	67000
1H0V	5462	O6-Substituted Guanine Deriv. 4	48000
1H0V	5463	O6-Substituted Guanine Deriv. 5	49000
1H0V	5464	O6-Substituted Guanine Deriv. 6	100000
1H0V	5467	O6-Substituted Guanine Deriv. 9	42000
1H0V	5468	O6-Substituted Guanine Deriv. 10	15000
